Episode,Total Reward,Final Cash,Trades Made
1,0.6900000000000546,10000.69,14
2,0.5100000000002183,10000.509999999998,10
3,0.5599999999999454,10000.56,11
4,1.0299999999999727,10001.03,9
5,1.900000000000091,10001.900000000001,18
